0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:08 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:28 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:28 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:28 +0530] "GET /Training/left.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:28 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:29 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:17 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:17 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:17 +0530] "GET /Training/left.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:17 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/left.html HTTP/1.1" 304 -
